Gr Liv Area,Lot Area,Total Bsmt SF,Lot Frontage,Garage Area,House Age,Total Porch SF,Overall Cond,Neighborhood,Overall Qual,MS SubClass,Mas Vnr Area,Total Bathrooms,Mo Sold,Garage Yr Blt,Sale Condition,SalePrice
1374,5400,840.0,90.0,338.0,59,198,6,OldTown,4,50,0.0,1.0,10,57,4,105.0
846,10800,720.0,60.0,576.0,59,0,7,OldTown,5,30,0.0,1.0,6,70,4,106.0
725,10800,630.0,60.0,320.0,11,30,5,OldTown,3,30,0.0,1.5,11,49,4,78.5
2544,9671,1248.0,81.0,907.0,40,0,5,NAmes,6,90,480.0,3.0,8,59,4,190.0
1380,10143,1380.0,83.0,364.0,46,216,7,NAmes,6,20,295.0,1.5,6,53,4,154.0
1040,11500,1040.0,77.0,480.0,42,156,4,NAmes,6,20,0.0,2.0,5,57,4,163.0
2634,11643,1248.0,91.0,968.0,40,0,5,NAmes,5,90,368.0,4.5,8,59,4,200.0
951,8010,951.0,62.0,480.0,2,42,9,NAmes,6,20,0.0,2.0,9,75,4,143.5
1105,10454,1105.0,90.0,308.0,52,0,6,NAmes,6,20,143.0,1.0,4,47,4,135.0
1306,8712,992.0,64.0,756.0,9,0,7,NAmes,5,20,0.0,2.0,5,58,4,153.0
1478,17600,1478.0,69.22459016393442,498.0,49,40,5,NAmes,6,20,30.0,3.0,12,50,4,157.5
1142,9000,160.0,80.0,384.0,51,92,6,NAmes,6,20,82.0,1.0,4,48,4,113.5
1268,12144,832.0,60.0,288.0,59,28,7,NAmes,5,40,0.0,1.0,9,39,4,133.0
1040,8544,0.0,60.0,400.0,59,0,4,NAmes,3,90,0.0,2.0,6,77,4,92.9
1133,8064,795.0,60.0,900.0,59,231,5,NAmes,6,50,0.0,1.0,12,79,0,128.5
1040,7200,0.0,60.0,420.0,59,0,5,NAmes,4,90,0.0,2.0,6,46,4,90.0
1904,7200,1208.0,60.0,240.0,27,168,4,NAmes,5,50,0.0,2.5,5,40,4,138.0
1041,7350,1041.0,71.0,294.0,51,0,6,NAmes,5,20,0.0,1.0,3,48,4,128.0
1339,7560,1029.0,70.0,294.0,44,0,6,NAmes,5,20,0.0,1.0,5,48,0,139.0
732,7200,732.0,60.0,240.0,57,68,7,NAmes,5,20,0.0,2.0,9,42,4,118.9
1183,8000,528.0,80.0,288.0,50,0,5,NAmes,5,80,0.0,2.0,7,49,4,138.0
1148,7931,1148.0,70.0,672.0,50,0,5,NAmes,5,20,0.0,2.0,7,49,4,132.5
1461,10800,832.0,60.0,384.0,13,204,7,NAmes,4,50,0.0,2.0,8,39,4,133.5
1495,8064,864.0,60.0,576.0,15,216,7,NAmes,6,50,0.0,1.0,8,84,0,135.0
1806,7570,780.0,76.0,483.0,45,55,5,NAmes,6,60,420.0,1.5,3,54,4,144.75
941,8604,941.0,75.0,564.0,31,40,7,NAmes,5,90,124.0,2.0,11,68,4,145.0
1045,7936,1045.0,80.0,264.0,46,0,6,NAmes,6,20,0.0,2.0,4,53,4,127.0
894,6600,894.0,60.0,308.0,47,0,5,NAmes,5,20,0.0,1.0,8,52,4,109.5
1224,3950,818.0,69.22459016393442,210.0,5,116,8,OldTown,6,50,0.0,1.0,12,17,4,115.0
1230,10440,440.0,60.0,440.0,28,202,6,OldTown,5,50,0.0,1.5,5,56,4,110.0
1378,4080,901.0,68.0,162.0,11,94,8,OldTown,6,50,0.0,1.0,6,11,4,128.9
1944,10307,972.0,57.0,324.0,59,197,5,OldTown,6,90,0.0,3.0,6,11,4,103.5
1131,5720,676.0,52.0,200.0,59,26,6,OldTown,5,50,0.0,1.5,8,32,0,66.5
1306,15660,240.0,90.0,472.0,6,0,8,OldTown,5,50,0.0,1.5,7,49,4,130.0
1464,9900,504.0,90.0,0.0,7,176,8,OldTown,5,70,0.0,2.0,3,101,4,129.0
1558,6406,690.0,57.0,400.0,59,218,6,OldTown,5,70,0.0,1.5,10,30,4,150.0
2372,6600,994.0,60.0,432.0,44,287,4,OldTown,5,70,0.0,2.0,12,75,4,107.5
1701,7627,600.0,63.0,0.0,59,148,6,OldTown,4,190,0.0,2.0,10,101,4,94.55
1960,7596,960.0,60.0,400.0,57,0,5,OldTown,5,90,360.0,2.0,7,42,4,124.5
1389,3378,651.0,60.0,240.0,17,126,8,OldTown,7,60,0.0,1.5,9,37,4,135.0
1447,10134,801.0,56.0,0.0,59,324,5,OldTown,5,50,0.0,1.0,7,101,4,103.0
936,6000,936.0,60.0,576.0,56,144,4,OldTown,4,20,0.0,1.0,2,64,4,93.0
1328,6000,768.0,50.0,308.0,39,12,7,OldTown,5,50,0.0,1.5,3,40,4,129.5
1387,6000,811.0,50.0,256.0,55,0,4,OldTown,5,190,0.0,2.0,11,44,4,93.0
861,7404,861.0,62.0,288.0,59,128,6,OldTown,4,30,0.0,1.0,11,11,4,80.0
612,5925,0.0,50.0,308.0,59,25,4,OldTown,2,30,0.0,1.0,10,55,4,45.0
968,5925,600.0,50.0,0.0,59,0,6,OldTown,3,50,0.0,1.0,5,101,0,37.9
886,5784,190.0,50.0,273.0,13,244,8,OldTown,5,30,0.0,1.0,12,29,4,91.3
792,8520,624.0,60.0,287.0,59,81,8,OldTown,5,30,0.0,1.0,2,53,4,99.5
1452,4456,736.0,33.0,0.0,1,102,5,OldTown,4,190,0.0,2.0,6,101,5,113.0
1510,9600,677.0,60.0,720.0,59,160,4,OldTown,4,70,0.0,2.0,6,64,4,87.5
1284,3500,720.0,50.0,240.0,59,35,7,OldTown,5,50,0.0,1.5,4,38,4,110.0
2138,8100,849.0,90.0,360.0,44,196,5,OldTown,5,75,0.0,2.0,11,4,4,106.0
2640,11700,1240.0,65.0,864.0,6,567,7,OldTown,7,70,0.0,1.5,5,40,4,265.979
2007,8400,917.0,70.0,357.0,59,235,7,OldTown,6,70,0.0,2.0,6,21,4,160.0
1288,3600,624.0,60.0,280.0,2,103,7,OldTown,6,70,0.0,2.0,5,8,4,119.0
1742,17671,916.0,121.0,424.0,23,169,9,OldTown,8,70,0.0,1.5,11,16,4,168.0
816,3300,624.0,69.22459016393442,0.0,59,33,3,OldTown,4,30,0.0,1.0,6,101,4,58.5
1482,9000,650.0,50.0,324.0,21,0,9,OldTown,7,70,0.0,1.5,7,21,4,143.0
1022,7200,1022.0,60.0,280.0,3,256,4,OldTown,5,30,0.0,2.0,6,46,4,85.0
1869,8820,1088.0,98.0,456.0,13,292,6,OldTown,5,50,0.0,1.0,9,53,4,124.9
1480,5400,972.0,60.0,207.0,59,176,6,OldTown,6,50,0.0,1.0,9,11,3,119.0
1521,9720,741.0,60.0,640.0,7,238,7,OldTown,6,70,0.0,1.0,9,40,4,146.5
720,7879,720.0,60.0,0.0,59,638,5,IDOTRR,4,30,0.0,1.0,11,101,0,34.9
797,9392,245.0,72.0,0.0,59,130,3,IDOTRR,3,30,0.0,1.0,9,101,0,44.0
1576,21384,1324.0,144.0,528.0,5,312,6,BrkSide,5,70,0.0,3.5,5,14,4,223.5
1432,6615,1022.0,69.22459016393442,216.0,59,327,6,BrkSide,6,30,0.0,1.0,9,14,4,149.0
1548,7264,952.0,55.0,672.0,2,218,7,BrkSide,7,50,0.0,2.5,10,68,4,205.0
1654,4960,297.0,50.0,336.0,27,304,7,BrkSide,5,70,0.0,2.0,5,45,4,137.0
952,8854,952.0,69.22459016393442,192.0,59,138,6,BrkSide,6,30,0.0,1.0,5,7,4,121.0
1324,6000,672.0,50.0,240.0,59,0,6,BrkSide,4,50,0.0,1.0,7,27,4,128.0
1176,6000,698.0,50.0,624.0,9,210,9,BrkSide,6,50,0.0,1.0,7,89,4,134.9
1348,6000,884.0,50.0,216.0,12,208,8,BrkSide,5,50,0.0,2.0,5,50,4,117.0
1412,6000,780.0,50.0,280.0,59,45,6,BrkSide,6,50,0.0,1.0,5,30,4,132.5
1142,6000,468.0,60.0,320.0,59,98,5,BrkSide,5,50,444.0,1.0,6,15,4,93.0
904,6000,884.0,50.0,180.0,5,105,7,BrkSide,6,45,0.0,1.0,1,17,4,119.0
1301,6911,1145.0,60.0,440.0,59,0,5,BrkSide,5,30,0.0,1.0,10,55,4,100.0
1539,6120,927.0,51.0,576.0,59,112,6,BrkSide,5,50,0.0,1.5,4,85,4,141.5
1573,6120,884.0,51.0,240.0,14,174,7,BrkSide,4,50,0.0,1.0,7,26,4,133.0
800,6120,264.0,51.0,0.0,59,0,3,BrkSide,2,30,0.0,1.0,1,101,4,60.0
875,6120,715.0,51.0,180.0,16,48,7,BrkSide,5,30,0.0,2.0,11,22,4,105.0
995,6120,960.0,51.0,264.0,10,66,6,BrkSide,5,30,0.0,1.0,3,17,0,115.0
1582,6120,952.0,51.0,250.0,59,373,6,BrkSide,5,50,0.0,2.0,2,29,4,150.0
1072,8635,1072.0,50.0,1184.0,59,105,5,BrkSide,5,30,0.0,2.0,8,72,4,126.5
2134,11888,844.0,69.22459016393442,441.0,15,328,6,BrkSide,6,75,0.0,2.0,7,21,4,214.5
2019,11414,728.0,60.0,532.0,16,644,8,BrkSide,7,70,0.0,1.0,10,87,4,167.5
1768,8094,1048.0,57.0,576.0,59,150,6,OldTown,6,70,0.0,2.0,6,21,4,155.0
1826,2500,910.0,50.0,164.0,4,0,8,OldTown,7,70,0.0,2.5,6,6,4,155.0
1944,9928,672.0,68.0,216.0,15,52,8,OldTown,7,70,0.0,2.0,6,6,4,179.9
2229,5520,755.0,92.0,0.0,59,228,6,OldTown,6,75,0.0,1.0,7,101,0,104.0
2128,3000,1040.0,50.0,0.0,59,56,1,OldTown,5,90,0.0,2.0,9,101,0,62.5
1930,6876,720.0,57.0,316.0,59,213,5,IDOTRR,6,70,0.0,3.0,8,18,4,149.0
1208,6240,780.0,52.0,539.0,59,135,5,IDOTRR,4,30,0.0,1.0,1,52,4,103.0
1427,5775,483.0,69.22459016393442,379.0,7,136,7,OldTown,6,70,0.0,1.0,2,6,4,123.0
1864,5852,1020.0,41.0,0.0,9,290,5,OldTown,7,190,188.0,2.5,5,101,4,97.5
1666,5160,1204.0,60.0,384.0,59,148,6,IDOTRR,6,50,0.0,1.0,8,18,4,135.0
892,5160,858.0,86.0,0.0,59,265,6,IDOTRR,4,85,0.0,2.0,7,101,0,70.0
1403,10320,698.0,60.0,308.0,44,288,7,IDOTRR,6,190,0.0,2.5,2,6,4,116.0
704,4280,560.0,50.0,220.0,8,24,9,Sawyer,4,20,0.0,1.5,9,36,4,88.75
1200,10800,1200.0,60.0,0.0,21,120,5,Edwards,5,90,0.0,6.0,3,101,2,179.0
1200,10800,1200.0,60.0,0.0,21,120,5,Edwards,5,90,0.0,6.0,3,101,2,179.0
1152,10547,1152.0,69.22459016393442,252.0,31,0,5,Edwards,5,90,0.0,4.0,7,50,4,159.9
904,10020,683.0,69.22459016393442,0.0,59,0,1,Edwards,1,30,0.0,1.5,3,101,4,61.0
1369,6629,672.0,54.0,300.0,59,147,6,Edwards,6,70,0.0,3.0,7,21,4,103.6
1112,9780,585.0,60.0,226.0,59,0,3,Edwards,5,50,0.0,3.0,3,25,4,63.0
1464,12886,520.0,70.0,480.0,10,402,6,Sawyer,5,80,0.0,2.5,10,87,4,175.0
1121,8816,1121.0,80.0,480.0,46,80,6,Sawyer,5,20,0.0,2.0,6,53,4,139.0
1683,11184,918.0,70.0,440.0,31,243,5,Sawyer,6,60,92.0,2.5,7,68,4,172.5
1052,11625,1052.0,75.0,668.0,42,215,6,Sawyer,5,20,172.0,1.5,4,74,0,113.5
899,7800,864.0,65.0,288.0,5,64,7,Sawyer,5,20,89.0,1.0,6,57,4,130.0
1034,8014,456.0,69.22459016393442,504.0,31,0,5,Sawyer,6,85,23.0,1.5,6,68,4,149.9
858,7252,858.0,69.22459016393442,576.0,27,120,5,Sawyer,5,85,0.0,2.0,4,73,4,134.9
860,8740,840.0,74.0,528.0,27,0,6,Sawyer,5,85,0.0,2.0,7,86,4,137.0
1092,11616,1092.0,69.22459016393442,288.0,47,164,5,Sawyer,5,20,116.0,1.5,9,52,4,139.0
1774,15400,552.0,88.0,384.0,48,330,5,Sawyer,5,80,0.0,2.0,7,51,4,165.0
1138,15312,1138.0,88.0,480.0,49,140,5,Sawyer,6,80,54.0,1.5,3,50,4,148.0
2071,15584,825.0,69.22459016393442,336.0,53,159,5,ClearCr,5,80,366.0,2.0,10,46,4,165.0
660,9000,0.0,69.22459016393442,0.0,59,100,2,Sawyer,2,20,0.0,1.0,6,101,4,63.9
1788,11250,1104.0,69.22459016393442,304.0,20,120,5,ClearCr,4,50,0.0,2.0,11,47,4,161.5
1473,25095,1437.0,65.0,452.0,6,108,8,ClearCr,5,20,0.0,3.0,6,58,5,143.0
1229,17140,1134.0,69.22459016393442,284.0,53,0,6,Edwards,4,20,0.0,1.0,4,46,4,135.0
861,12342,861.0,69.22459016393442,539.0,59,158,5,Edwards,4,30,0.0,1.0,3,51,4,82.5
1867,10708,1617.0,69.22459016393442,303.0,16,618,5,ClearCr,5,20,0.0,2.0,11,45,4,190.0
1733,13680,0.0,69.22459016393442,452.0,54,0,5,Edwards,3,20,0.0,2.0,6,45,4,139.6
1383,15635,0.0,69.22459016393442,498.0,55,200,5,Edwards,4,20,0.0,1.0,10,70,4,122.0
1689,9855,1436.0,73.0,480.0,53,0,5,Edwards,6,20,0.0,1.0,11,46,4,127.5
1073,9571,1073.0,68.0,340.0,53,0,5,Edwards,5,20,0.0,2.0,2,46,4,121.5
1276,9571,1276.0,68.0,350.0,51,0,3,Edwards,5,20,0.0,1.0,6,48,0,60.0
1639,9350,747.0,50.0,240.0,59,50,7,Edwards,6,60,0.0,1.5,7,36,4,154.4
672,9340,672.0,50.0,234.0,59,113,6,Edwards,4,30,0.0,2.0,8,32,4,113.0
1089,7440,1089.0,62.0,252.0,55,328,6,Edwards,5,20,0.0,2.0,9,44,4,125.0
845,11500,0.0,69.22459016393442,290.0,52,186,3,Edwards,4,20,0.0,1.0,1,47,4,84.0
1049,4235,1049.0,42.0,266.0,25,105,5,Edwards,5,120,149.0,3.0,2,74,4,139.5
1716,11409,768.0,60.0,281.0,1,160,4,Edwards,5,50,0.0,1.5,1,39,4,131.0
1258,9060,560.0,60.0,280.0,59,0,5,Edwards,6,50,0.0,1.0,10,30,4,105.0
1510,9084,755.0,60.0,296.0,59,120,5,Edwards,4,70,0.0,2.0,10,31,4,108.0
1061,10778,1054.0,74.0,462.0,18,150,6,SawyerW,7,80,0.0,2.5,7,80,4,162.0
1338,19255,520.0,66.0,576.0,26,0,5,SawyerW,6,80,100.0,1.5,9,73,4,156.5
2132,12327,1496.0,79.0,612.0,0,389,8,SawyerW,8,50,0.0,2.5,9,73,4,316.6
2196,14684,2158.0,90.0,701.0,18,154,7,SawyerW,7,20,234.0,2.0,6,80,4,271.9
1775,9317,740.0,75.0,425.0,16,498,5,SawyerW,7,60,137.0,3.5,7,83,4,213.0
1879,10560,1079.0,85.0,473.0,15,644,5,SawyerW,7,60,0.0,3.5,8,83,4,239.9
2020,9828,1128.0,80.0,466.0,14,155,5,SawyerW,8,60,0.0,2.5,6,85,4,239.5
2016,26400,0.0,120.0,576.0,2,0,7,SawyerW,5,70,0.0,1.0,6,2,4,131.0
1535,7018,0.0,64.0,410.0,30,0,5,SawyerW,5,90,0.0,2.0,6,69,2,118.964
1224,7018,1086.0,64.0,528.0,30,120,5,SawyerW,5,90,275.0,3.0,6,69,2,153.337
2228,7018,0.0,64.0,720.0,30,73,5,SawyerW,5,90,0.0,2.0,6,69,2,147.983
1535,7018,0.0,64.0,400.0,30,0,5,SawyerW,5,90,0.0,2.0,6,69,2,118.858
1535,7018,0.0,64.0,400.0,30,0,5,SawyerW,5,90,0.0,2.0,6,69,2,118.858
2240,7018,0.0,64.0,528.0,30,154,5,SawyerW,5,90,0.0,2.0,6,69,2,142.953
1229,7040,1094.0,64.0,672.0,30,120,5,SawyerW,5,90,216.0,3.0,6,69,2,148.325
1513,7007,0.0,64.0,400.0,30,0,5,SawyerW,5,90,0.0,2.0,6,69,2,113.722
2787,11855,1168.0,69.22459016393442,820.0,9,312,5,SawyerW,7,90,23.0,7.0,10,90,4,269.5
2787,7939,1168.0,69.22459016393442,820.0,9,312,5,SawyerW,7,90,23.0,7.0,10,90,4,269.5
2787,7976,1168.0,69.22459016393442,820.0,9,312,5,SawyerW,7,90,23.0,7.0,10,90,4,269.5
1680,10933,1555.0,84.0,1138.0,0,209,5,CollgCr,9,20,242.0,2.5,7,99,5,323.262
1718,10637,1705.0,79.0,826.0,1,252,5,CollgCr,8,20,336.0,3.0,9,97,4,297.0
1630,10226,1622.0,61.0,860.0,1,214,5,CollgCr,8,20,270.0,3.0,1,98,4,295.493
1720,10816,1720.0,65.0,846.0,1,312,5,CollgCr,9,20,364.0,3.0,11,98,4,332.0
1468,9178,1468.0,71.0,904.0,1,334,5,CollgCr,8,20,0.0,2.0,6,98,4,239.9
1768,10769,866.0,68.0,578.0,2,249,5,CollgCr,8,60,0.0,2.5,4,97,4,212.0
1838,11422,1838.0,77.0,524.0,1,376,5,CollgCr,8,20,352.0,3.0,4,97,4,272.5
1800,11923,1800.0,122.0,702.0,2,424,5,CollgCr,9,20,0.0,2.0,5,97,4,239.0
1604,8814,1604.0,68.0,660.0,3,233,5,CollgCr,7,20,180.0,3.5,3,96,0,220.0
1290,6762,1282.0,64.0,662.0,2,168,5,CollgCr,7,20,0.0,3.0,5,97,4,200.0
1254,10324,1254.0,95.0,810.0,1,260,5,CollgCr,8,20,140.0,3.0,3,98,4,221.8
1232,7314,1232.0,64.0,632.0,2,132,5,CollgCr,7,20,82.0,3.0,2,97,4,194.5
1498,11645,1498.0,78.0,844.0,3,242,5,CollgCr,8,20,76.0,2.0,3,95,4,237.0
1422,11646,704.0,79.0,440.0,3,64,5,CollgCr,6,60,0.0,2.5,7,95,4,173.0
1644,12800,1518.0,69.22459016393442,569.0,20,476,5,SawyerW,7,80,145.0,3.5,8,79,4,275.0
1759,16698,1449.0,69.22459016393442,525.0,16,343,5,ClearCr,7,60,0.0,3.5,6,82,4,233.5
2126,28698,1013.0,69.22459016393442,538.0,42,711,5,ClearCr,5,60,0.0,3.0,6,57,0,185.0
1040,12464,1040.0,82.0,576.0,13,168,5,CollgCr,5,20,0.0,2.0,11,90,4,152.0
990,9757,990.0,65.0,440.0,15,158,7,CollgCr,5,20,0.0,2.0,10,85,4,143.0
1764,15426,928.0,65.0,470.0,12,375,5,CollgCr,6,60,0.0,3.5,8,87,4,231.5
1661,10667,799.0,43.0,550.0,13,219,6,CollgCr,7,60,0.0,3.5,4,86,4,212.0
1463,14753,1463.0,65.0,539.0,11,81,5,CollgCr,7,20,0.0,3.0,12,88,4,207.0
1097,10859,1097.0,112.0,672.0,14,456,5,CollgCr,5,20,0.0,1.5,6,85,4,145.0
990,8072,990.0,60.0,480.0,14,64,5,CollgCr,5,20,0.0,2.0,5,90,4,138.0
1779,10400,866.0,80.0,546.0,11,234,5,CollgCr,7,60,0.0,2.5,3,88,4,197.9
1501,10335,1490.0,78.0,577.0,10,173,5,CollgCr,7,20,183.0,3.0,6,89,4,204.0
1431,9017,1431.0,68.0,666.0,10,35,5,CollgCr,7,20,0.0,3.0,9,89,4,192.0
1772,8750,928.0,70.0,492.0,11,246,5,CollgCr,6,60,120.0,3.5,4,88,4,200.0
1660,8935,831.0,68.0,493.0,7,212,5,CollgCr,7,60,95.0,2.5,7,92,4,195.0
1573,9808,1573.0,67.0,544.0,7,72,5,CollgCr,7,20,110.0,3.0,3,92,4,227.0
1840,12420,944.0,79.0,622.0,8,45,5,CollgCr,7,60,0.0,3.5,6,91,4,230.0
1430,16285,1413.0,67.0,605.0,7,33,5,CollgCr,7,20,0.0,2.0,6,91,4,187.1
1444,10739,1431.0,65.0,577.0,8,184,5,CollgCr,7,20,68.0,3.0,4,92,4,203.0
1492,11166,1492.0,75.0,608.0,8,282,5,CollgCr,7,20,180.0,2.0,7,91,3,201.0
1040,8430,1040.0,60.0,0.0,31,0,5,CollgCr,5,20,136.0,2.0,8,101,4,124.0
907,16269,907.0,69.22459016393442,343.0,31,72,5,CollgCr,5,20,76.0,1.0,7,68,4,140.0
914,6950,914.0,76.0,444.0,30,0,7,CollgCr,5,20,40.0,2.0,10,69,4,134.9
1040,8800,1040.0,61.0,484.0,1,288,7,CollgCr,5,20,0.0,2.0,9,67,4,150.5
864,7000,864.0,69.22459016393442,336.0,4,0,8,CollgCr,5,20,90.0,2.0,7,68,4,136.5
1268,9286,1268.0,69.22459016393442,252.0,20,173,7,CollgCr,5,20,0.0,1.5,10,68,4,143.5
864,15523,864.0,36.0,338.0,37,0,6,CollgCr,5,20,0.0,2.0,8,62,4,133.5
894,7200,894.0,60.0,600.0,37,215,5,CollgCr,5,20,0.0,1.0,9,75,4,123.0
768,7200,768.0,60.0,396.0,6,192,8,CollgCr,5,85,0.0,1.5,4,64,4,133.9
768,8445,768.0,70.0,396.0,2,58,7,CollgCr,5,85,0.0,2.0,3,78,4,133.0
1611,11664,1569.0,90.0,1231.0,7,355,5,CollgCr,7,20,0.0,3.0,9,92,4,250.0
2184,12334,1068.0,69.22459016393442,570.0,6,324,5,CollgCr,8,60,198.0,2.5,6,93,4,254.75
1788,11838,1753.0,69.22459016393442,522.0,8,353,5,CollgCr,8,20,0.0,2.0,6,91,4,236.5
1872,11885,1299.0,69.22459016393442,531.0,8,282,5,CollgCr,8,60,108.0,3.5,11,91,4,261.5
2153,11050,1440.0,69.22459016393442,736.0,9,395,5,CollgCr,9,60,204.0,3.5,5,90,4,313.0
1870,11250,944.0,69.22459016393442,608.0,8,299,5,CollgCr,7,60,0.0,2.5,5,91,4,211.0
1513,15750,1462.0,90.0,521.0,9,169,5,CollgCr,8,20,260.0,3.0,6,89,4,220.0
1504,11883,1504.0,73.0,478.0,13,181,5,CollgCr,7,20,196.0,3.0,6,86,4,203.0
1828,12782,1822.0,69.22459016393442,523.0,6,338,5,CollgCr,8,20,164.0,3.0,6,92,4,279.5
1417,8750,1417.0,70.0,511.0,11,177,5,CollgCr,7,20,209.0,3.0,8,87,4,210.0
2034,9375,1057.0,69.22459016393442,645.0,11,612,5,CollgCr,7,60,573.0,3.5,2,88,4,219.5
1716,8750,880.0,70.0,512.0,13,120,5,CollgCr,7,60,0.0,2.5,7,86,4,191.0
1212,9100,1212.0,70.0,573.0,8,356,5,CollgCr,7,20,0.0,2.0,6,91,4,178.0
1630,9750,1630.0,75.0,451.0,8,308,5,CollgCr,7,20,171.0,2.0,10,90,4,213.0
848,4435,848.0,69.22459016393442,420.0,5,140,5,CollgCr,6,120,170.0,2.0,6,93,4,144.0
848,4435,848.0,69.22459016393442,420.0,6,140,5,CollgCr,6,120,170.0,2.0,5,93,4,140.0
1602,10200,1578.0,85.0,810.0,2,243,5,CollgCr,8,20,180.0,3.0,1,97,4,293.2
1728,9313,864.0,65.0,572.0,5,243,5,CollgCr,7,60,0.0,2.5,4,94,4,190.0
1500,8487,1500.0,63.0,570.0,5,228,5,CollgCr,7,20,210.0,2.0,8,94,4,190.0
1476,8633,738.0,64.0,540.0,4,135,5,CollgCr,6,60,0.0,3.5,2,95,4,173.5
1396,11069,608.0,85.0,440.0,2,136,5,CollgCr,6,60,0.0,2.5,7,97,4,170.0
1126,8777,0.0,67.0,520.0,6,96,5,Edwards,4,20,0.0,2.0,5,92,4,108.0
1486,9937,1486.0,75.0,480.0,10,0,7,Edwards,5,20,0.0,2.0,3,58,4,167.0
816,8877,816.0,67.0,288.0,51,0,6,Edwards,4,20,0.0,2.0,5,48,4,100.0
1922,7301,0.0,64.0,672.0,6,177,5,Edwards,7,85,500.0,3.0,7,93,4,198.5
1426,7950,690.0,75.0,440.0,32,252,6,Edwards,6,60,140.0,1.5,7,67,4,159.5
1149,10682,1014.0,80.0,544.0,38,240,6,Edwards,4,20,0.0,2.0,7,58,4,127.0
1125,7200,1041.0,72.0,352.0,33,296,6,Edwards,6,80,255.0,2.0,10,67,0,125.0
1698,13286,1698.0,86.0,768.0,1,391,5,Edwards,9,20,340.0,3.0,2,97,4,320.0
1072,3675,547.0,35.0,525.0,3,28,5,Edwards,6,180,80.0,2.0,4,95,4,145.5
698,9405,698.0,50.0,0.0,1,200,9,Edwards,5,20,0.0,1.5,6,101,4,118.0
876,6410,876.0,64.0,320.0,50,0,5,Edwards,4,20,0.0,1.0,3,49,4,85.0
1368,11767,1078.0,70.0,195.0,59,252,5,Edwards,5,20,0.0,2.0,6,40,4,120.0
1529,8405,0.0,50.0,240.0,59,277,3,Edwards,4,50,0.0,2.0,4,35,4,98.0
864,4060,864.0,56.0,0.0,59,96,8,Edwards,5,30,0.0,1.0,7,101,4,99.9
944,10206,0.0,74.0,528.0,57,0,3,Edwards,3,20,0.0,1.0,7,46,4,82.0
1678,10926,1678.0,65.0,0.0,50,0,5,Edwards,5,90,74.0,2.0,8,101,4,119.9
1560,11767,1150.0,70.0,313.0,53,0,5,Edwards,5,20,259.0,1.0,5,46,4,103.5
960,8926,672.0,69.22459016393442,288.0,53,224,3,Edwards,4,20,0.0,1.0,10,46,0,112.0
1196,12354,684.0,67.0,528.0,9,46,8,Edwards,6,50,0.0,1.0,8,95,4,110.0
1298,8212,720.0,45.0,256.0,59,84,6,Edwards,5,50,0.0,1.0,9,31,4,122.0
1604,10998,984.0,60.0,660.0,49,68,5,Edwards,5,50,0.0,2.0,7,67,4,117.0
1268,6300,832.0,70.0,250.0,59,55,4,SWISU,5,50,88.0,1.5,7,29,0,160.0
1520,4500,793.0,55.0,281.0,9,56,5,SWISU,5,50,0.0,1.0,7,58,0,159.434
1489,9900,778.0,60.0,240.0,59,335,7,SWISU,6,50,0.0,2.0,7,31,4,139.5
3082,15863,824.0,102.0,672.0,39,199,3,SWISU,7,75,0.0,3.5,8,60,4,197.0
1242,5707,583.0,43.0,180.0,59,425,6,SWISU,6,70,0.0,1.5,3,17,4,105.0
1981,7804,1122.0,65.0,576.0,59,475,3,SWISU,4,50,0.0,3.0,12,71,4,135.0
1232,8574,816.0,64.0,440.0,9,180,8,Crawfor,6,30,0.0,1.0,10,7,4,147.5
1608,6171,976.0,51.0,216.0,19,163,6,SWISU,6,50,0.0,2.5,10,16,4,137.45
1135,7200,560.0,60.0,576.0,2,256,9,SWISU,7,70,0.0,2.0,4,61,4,155.0
1913,7558,896.0,57.0,342.0,59,0,6,Crawfor,6,50,0.0,1.5,3,20,4,177.0
1477,6292,861.0,52.0,216.0,59,50,7,SWISU,7,50,0.0,2.5,8,19,4,145.0
1228,7155,600.0,53.0,215.0,19,308,8,Crawfor,7,70,0.0,1.0,5,9,4,137.0
2080,10918,1276.0,53.0,282.0,5,145,9,Crawfor,7,70,0.0,1.5,6,17,4,234.0
1567,13680,840.0,60.0,440.0,59,171,6,Crawfor,5,50,0.0,2.5,2,51,4,205.0
1494,7500,771.0,69.22459016393442,213.0,59,224,7,Crawfor,6,70,0.0,1.0,11,33,4,177.5
1308,9600,728.0,130.0,256.0,59,70,7,Crawfor,5,50,0.0,2.5,6,31,4,160.0
1273,14680,1273.0,80.0,307.0,49,598,4,Crawfor,5,20,0.0,1.0,6,50,4,155.0
964,13360,876.0,80.0,432.0,3,44,7,Crawfor,5,30,0.0,2.0,8,12,4,163.5
1343,7681,731.0,54.0,186.0,59,294,6,Crawfor,5,50,0.0,1.5,7,12,4,154.9
2480,8145,920.0,69.22459016393442,400.0,59,57,6,Crawfor,7,90,0.0,2.5,7,31,4,205.0
1112,9100,1112.0,70.0,390.0,55,0,6,Crawfor,5,20,0.0,2.0,10,44,3,144.8
1564,12000,704.0,75.0,234.0,59,0,7,Crawfor,7,70,0.0,1.5,7,32,4,174.5
1561,13339,1561.0,90.0,463.0,49,268,6,Crawfor,6,20,132.0,3.0,5,50,4,193.0
